Date,PR,GHI
2020-12-31,63.36967939,3.629525
2021-01-01,83.66641687,2.786683333
2021-01-02,61.51536333,3.874108333
2021-01-03,84.49778453,4.827366667
2021-01-04,78.41415728,4.065383333
2021-01-05,80.18236383,4.0429
2021-01-06,84.90721676,3.949783333
2021-01-07,75.79212097,4.947341667
2021-01-08,64.43049471,5.051108333
2021-01-09,61.68552125,5.2389
2021-01-10,64.24337066,4.8213
2021-01-11,73.86084303,4.975141667
2021-01-12,60.14697289,4.866616667
2021-01-13,82.0148182,5.033091667
2021-01-14,82.79713506,4.440375
2021-01-15,72.91756073,4.514583333
2021-01-16,69.19325224,4.349475
2021-01-17,81.63869705,4.833258333
2021-01-18,65.7849578,5.544341667
2021-01-19,64.93065695,3.88405
2021-01-20,61.89388664,3.496041667
2021-01-21,63.66000166,3.969733333
2021-01-22,60.2873887,3.324808333
2021-01-23,75.26188888,3.377008333
2021-01-24,66.90631035,3.681925
2021-01-25,64.09811909,4.29905
2021-01-26,66.81909322,4.239008333
2021-01-27,63.86066734,4.010408333
2021-01-28,69.44407808,4.213233333
2021-01-29,72.42513773,5.424616667
2021-01-30,75.61305069,4.741075
2021-01-31,66.36006131,4.604041667
2021-02-01,66.92499948,4.621641667
2021-02-02,78.79142175,5.495841667
2021-02-03,72.96728368,5.2928
2021-02-04,63.08690837,4.473416667
2021-02-05,80.02004886,4.504841667
2021-02-06,62.85821532,4.159225
2021-02-07,77.56261296,3.478141667
2021-02-08,77.06022752,3.205775
2021-02-09,68.22388346,5.045083333
2021-02-10,64.14147918,4.277683333
2021-02-11,63.86806783,2.390758333
2021-02-12,70.57074642,4.068308333
2021-02-13,78.76293497,5.202675
2021-02-14,72.81963177,4.364241667
2021-02-15,61.69717364,4.697391667
2021-02-16,74.94631074,5.241525
2021-02-17,75.83144148,5.940891667
2021-02-18,65.74010327,5.53465
2021-02-19,84.33412207,5.472708333
2021-02-20,76.00995922,6.008566667
2021-02-21,77.80130415,5.999541667
2021-02-22,76.21568108,5.196675
2021-02-23,81.55455971,5.446766667
2021-02-24,66.57206215,4.6578
2021-02-25,79.1301965,5.31395
2021-02-26,62.73319882,4.556158333
2021-02-27,71.44104176,3.493283333
2021-02-28,67.50866074,4.582141667
2021-03-01,61.55919588,5.4687
2021-03-02,65.85289818,4.935983333
2021-03-03,82.27337522,4.19625
2021-03-04,84.91011271,5.165466667
2021-03-05,64.10777168,6.486008333
2021-03-06,64.88061055,5.915858333
2021-03-07,75.19907414,5.639083333
2021-03-08,69.31458217,5.1473
2021-03-09,72.33920476,4.57085
2021-03-10,64.00159103,4.772283333
2021-03-11,76.61826401,5.075016667
2021-03-12,83.63222408,5.343283333
2021-03-13,80.61762338,5.711466667
2021-03-14,75.94527618,6.122858333
2021-03-15,76.2216018,5.025025
2021-03-16,70.78168553,4.547383333
2021-03-17,75.73683378,5.219116667
2021-03-18,73.75455072,4.648075
2021-03-19,73.13327469,4.957
2021-03-20,73.46585282,3.220425
2021-03-21,61.18568999,4.30625
2021-03-22,67.66042667,6.015591667
2021-03-23,80.58251206,6.209658333
2021-03-24,81.65893517,5.930958333
2021-03-25,77.53325058,5.744208333
2021-03-26,82.3602677,6.382258333
2021-03-27,69.51553523,5.880091667
2021-03-28,79.12584119,6.058016667
2021-03-29,62.95521726,5.221883333
2021-03-30,62.09502838,4.50345
2021-03-31,76.89889967,5.7723
2021-04-01,69.42506407,5.695466667
2021-04-02,64.49132957,5.393075
2021-04-03,79.09037784,5.281491667
2021-04-04,62.37501073,4.4688
2021-04-05,66.53188436,5.544483333
2021-04-20,81.18385924,5.541141667
2021-04-21,69.39032767,3.62395
2021-04-22,83.12971089,3.492116667
2021-04-23,63.64662328,2.394136241
2021-04-24,80.40084625,3.798924019
2021-04-25,71.29094721,2.735408262
2021-04-26,74.64967213,3.089371597
2021-04-27,80.88077081,3.055165786
2021-04-28,78.81450146,3.627878567
2021-04-29,62.46706892,4.539083967
2021-04-30,62.42248752,2.591562824
2021-05-01,68.60522351,5.292419368
2021-05-02,80.86788128,4.431024888
2021-05-03,74.74476697,5.883403687
2021-05-04,75.74457764,4.570410435
2021-05-05,65.81167319,2.253509217
2021-05-06,77.53399902,4.692892997
2021-05-07,67.72989881,3.644346039
2021-05-08,83.13317573,2.227714066
2021-05-09,83.52568208,5.552725485
2021-05-10,70.6215225,4.773650032
2021-05-11,63.54684753,4.13724155
2021-05-12,67.27020355,5.692629246
2021-05-13,72.62914563,4.949871427
2021-05-14,80.58428564,2.755736898
2021-05-15,82.62436035,4.155358975
2021-05-16,80.20258609,5.604047307
2021-05-17,81.14592307,5.142796085
2021-05-18,73.65865639,2.293150014
2021-05-19,63.21525782,3.053645955
2021-05-20,74.30238862,4.029908446
2021-05-21,61.43755755,3.486734001
2021-05-22,74.3970245,2.402452251
2021-05-23,61.58375728,5.544250301
2021-05-24,62.42075606,4.281675428
2021-05-25,78.89371378,3.316844593
2021-05-26,61.62369128,5.779133295
2021-05-27,72.88497858,2.546229425
2021-05-28,72.70578373,3.139226802
2021-05-29,74.99590519,3.038622696
2021-05-30,69.20369021,4.492467527
2021-05-31,78.50826384,5.732635684
